level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1654	2339	-1	
2	1	1	0	0	0	119	70	416	62	-1	
3	1	1	1	0	0	119	70	416	62	-1	
4	1	1	1	1	0	119	70	416	62	-1	
5	1	1	1	1	1	119	70	43	62	40.965012	©
5	1	1	1	1	2	213	64	126	79	0.000000	iced
5	1	1	1	1	3	365	64	172	79	0.000000	voices
2	1	2	0	0	0	120	346	255	54	-1	
3	1	2	1	0	0	120	346	255	54	-1	
4	1	2	1	1	0	120	346	66	19	-1	
5	1	2	1	1	1	120	346	66	19	96.977448	From:
4	1	2	1	2	0	120	381	255	19	-1	
5	1	2	1	2	1	120	381	70	19	92.818184	DEMO
5	1	2	1	2	2	188	377	11	32	92.818184	-
5	1	2	1	2	3	214	381	64	19	96.967339	Sliced
5	1	2	1	2	4	289	381	86	19	96.448784	Invoices
2	1	3	0	0	0	1337	153	196	44	-1	
3	1	3	1	0	0	1337	153	196	44	-1	
4	1	3	1	1	0	1337	153	196	44	-1	
5	1	3	1	1	1	1337	153	196	44	94.535507	Invoice
2	1	4	0	0	0	945	316	590	4	-1	
3	1	4	1	0	0	945	316	590	4	-1	
4	1	4	1	1	0	945	316	590	4	-1	
5	1	4	1	1	1	945	316	590	4	95.000000	 
2	1	5	0	0	0	970	330	169	19	-1	
3	1	5	1	0	0	970	330	169	19	-1	
4	1	5	1	1	0	970	330	169	19	-1	
5	1	5	1	1	1	970	330	74	19	96.448532	Invoice
5	1	5	1	1	2	1054	330	85	19	96.812134	Number
2	1	6	0	0	0	1257	330	101	19	-1	
3	1	6	1	0	0	1257	330	101	19	-1	
4	1	6	1	1	0	1257	330	101	19	-1	
5	1	6	1	1	1	1257	330	101	19	91.889900	INV-3337
2	1	7	0	0	0	945	360	590	4	-1	
3	1	7	1	0	0	945	360	590	4	-1	
4	1	7	1	1	0	945	360	590	4	-1	
5	1	7	1	1	1	945	360	590	4	95.000000	 
2	1	8	0	0	0	969	374	155	19	-1	
