level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1700	2200	-1	
2	1	1	0	0	0	68	76	1564	2056	-1	
3	1	1	1	0	0	68	76	1564	2056	-1	
4	1	1	1	1	0	68	76	1564	2056	-1	
5	1	1	1	1	1	68	76	1564	2056	95.000000
1	1	0	0	0	0	0	0	1700	2200	-1	
2	1	1	0	0	0	151	157	948	53	-1	
3	1	1	1	0	0	151	157	948	53	-1	
4	1	1	1	1	0	151	157	948	53	-1	
5	1	1	1	1	1	151	157	377	53	96.685158	PROJECT
5	1	1	1	1	2	553	157	546	53	96.096100	DESCRIPTION
2	1	2	0	0	0	149	352	1373	135	-1	
3	1	2	1	0	0	149	352	1373	135	-1	
4	1	2	1	1	0	149	352	1373	27	-1	
5	1	2	1	1	1	149	352	44	21	96.995522	The
5	1	2	1	1	2	203	352	66	27	96.735794	quick
5	1	2	1	1	3	280	352	79	21	96.236038	brown
5	1	2	1	1	4	369	352	36	21	96.236038	fox
5	1	2	1	1	5	419	348	77	35	96.629288	jumped
5	1	2	1	1	6	523	358	56	15	96.492561	over
5	1	2	1	1	7	587	352	41	21	96.815559	the
5	1	2	1	1	8	639	352	47	26	96.173630	lazy
5	1	2	1	1	9	695	352	47	27	96.341988	dog
5	1	2	1	1	10	754	352	48	21	96.520172	into
5	1	2	1	1	11	812	358	11	15	96.904106	a
5	1	2	1	1	12	834	352	146	27	96.267204	shimmering
5	1	2	1	1	13	991	352	54	27	96.649536	pool
5	1	2	1	1	14	1056	352	25	21	96.960442	of
5	1	2	1	1	15	1090	352	121	21	96.679054	rainwater
5	1	2	1	1	16	1219	352	51	21	96.773041	that
5	1	2	1	1	17	1281	352	44	21	96.928024	had
5	1	2	1	1	18	1336	352	113	27	96.880325	gathered
5	1	2	1	1	19	1460	352	62	21	96.868614	since
4	1	2	1	2	0	149	388	1202	27	-1	
5	1	2	1	2	1	149	388	40	21	96.604721	the
5	1	2	1	2	2	201	388	41	21	96.386787	last
5	1	2	1	2	3	252	388	63	21	96.537407	frost.
5	1	2	1	2	4	325	388	50	21	96.644897	Soft
5	1	2	1	2	5	385	388	96	21	96.363342	clusters
5	1	2	1	2	6	491	388	25	21	96.723640	of
5	1	2	1	2	7	526	388	77	21	96.340324	leaves
5	1	2	1	2	8	612	388	36	21	96.779198	fall
5	1	2	1	2	9	658	388	100	21	96.076416	without
5	1	2	1	2	10	768	394	12	15	96.076416	a
5	1	2	1	2	11	791	388	51	27	96.766312	plan
5	1	2	1	2	12	852	390	26	19	96.474800	to
5	1	2	1	2	13	887	388	41	21	96.674896	the
5	1	2	1	2	14	938	388	97	27	96.587509	ground,
5	1	2	1	2	15	1046	388	113	27	96.632095	mirroring
5	1	2	1	2	16	1171	388	39	21	96.607788	the
5	1	2	1	2	17	1221	384	88	35	96.607788	jumped
5	1	2	1	2	18	1325	394	26	15	96.562576	so
4	1	2	1	3	0	150	424	1335	27	-1	
5	1	2	1	3	1	150	424	187	21	90.782028	soon.unhurried
5	1	2	1	3	2	348	424	110	21	96.261070	chestnut
5	1	2	1	3	3	467	424	81	21	96.651848	thatch
5	1	2	1	3	4	559	424	25	21	96.654137	of
5	1	2	1	3	5	592	424	41	21	93.294983	the
5	1	2	1	3	6	643	424	57	21	92.601852	fox’s
5	1	2	1	3	7	709	424	74	21	96.487846	dense
5	1	2	1	3	8	794	426	59	19	96.132103	coat.
5	1	2	1	3	9	862	424	44	21	96.732040	The
5	1	2	1	3	10	916	424	39	21	96.773636	fox
5	1	2	1	3	11	966	424	64	21	96.273743	looks
5	1	2	1	3	12	1039	426	26	19	96.273743	to
5	1	2	1	3	13	1074	424	41	21	96.342796	the
5	1	2	1	3	14	1124	426	68	23	96.561897	west,
5	1	2	1	3	15	1202	424	53	26	96.015984	only
5	1	2	1	3	16	1263	424	57	21	96.107834	then
5	1	2	1	3	17	1331	424	103	27	96.901451	realizing
5	1	2	1	3	18	1445	424	40	21	96.971153	the
4	1	2	1	4	0	150	460	1143	27	-1	
5	1	2	1	4	1	150	460	92	21	96.194664	horizon
5	1	2	1	4	2	254	460	40	21	96.353142	has
5	1	2	1	4	3	305	460	77	27	96.526794	begun
5	1	2	1	4	4	392	462	26	19	95.995552	to
5	1	2	1	4	5	428	466	68	15	96.867416	curve
5	1	2	1	4	6	505	460	104	21	96.508263	towards
5	1	2	1	4	7	618	460	71	21	96.609802	them.
5	1	2	1	4	8	700	460	99	27	96.179611	Perhaps
5	1	2	1	4	9	808	460	56	26	96.696266	they
5	1	2	1	4	10	874	460	81	21	96.686333	should
5	1	2	1	4	11	967	462	41	19	96.535995	not
5	1	2	1	4	12	1020	460	54	21	95.951950	have
5	1	2	1	4	13	1088	456	85	35	95.951950	jumped
5	1	2	1	4	14	1192	466	26	15	95.835533	so
5	1	2	1	4	15	1228	466	65	15	95.835533	soon.
2	1	3	0	0	0	149	546	1347	165	-1	
3	1	3	1	0	0	149	546	1347	165	-1	
4	1	3	1	1	0	149	546	1330	27	-1	
5	1	3	1	1	1	149	546	44	21	95.828979	The
5	1	3	1	1	2	204	546	52	21	96.557846	hem
5	1	3	1	1	3	267	546	24	21	96.570183	of
5	1	3	1	1	4	300	546	41	21	96.849762	the
5	1	3	1	1	5	352	546	53	27	96.824852	pool
5	1	3	1	1	6	416	546	105	27	96.866028	expands
